equipo_ganador,equipo_primera_sangre,asesinatos_dif,asistencias_dif,nivel_dif,minions_dif,torretas_dif,dragones_dif,heraldos_dif
1,1,-6,-8,-0.40000000000000036,-29,0,1,0
0,0,-3,-8,-0.40000000000000036,-19,0,-1,-1
1,0,1,2,-0.40000000000000036,-15,0,1,0
0,1,-3,-9,-0.20000000000000018,11,0,-1,0
1,1,-8,-7,-1.2000000000000002,-92,-1,-1,-1
1,1,-3,-6,-0.40000000000000036,11,0,1,0
0,1,-4,-4,-0.8000000000000007,15,0,-1,1
1,1,2,0,0.40000000000000036,73,0,1,0
0,1,5,7,0.5999999999999996,17,0,1,1
0,1,-3,-2,-0.20000000000000018,5,0,1,-1
0,0,-3,-11,-0.40000000000000036,-14,1,1,1
0,1,0,-1,0.40000000000000036,-6,0,-1,0
1,1,5,7,0.39999999999999947,39,0,1,0
0,0,8,11,1.0,19,0,1,0
0,1,-8,-10,-0.5999999999999996,-28,0,-1,-1
0,1,-1,-7,0.0,20,0,1,0
1,1,4,0,0.20000000000000018,-39,0,1,0
1,1,3,1,0.40000000000000036,33,0,1,1
0,0,1,0,0.6000000000000005,72,0,-1,0
1,1,-2,-9,0.20000000000000018,-27,0,0,1
0,1,1,-4,0.6000000000000005,70,0,0,0
0,1,2,3,0.7999999999999998,36,0,0,0
0,0,0,-1,0.0,-8,0,1,1
0,0,5,6,0.20000000000000018,7,0,0,0
0,1,-2,-3,0.0,0,0,0,0
1,1,-8,-6,-1.0,-55,0,0,0
0,0,1,-2,0.0,10,0,1,0
0,1,-5,-7,-0.40000000000000036,4,0,-1,0
0,0,1,2,0.0,-32,0,0,-1
1,1,-7,-4,-0.7999999999999998,-47,0,-1,-1
1,1,-5,-9,-0.5999999999999996,-33,0,-1,-1
1,1,-7,-4,-0.20000000000000018,32,0,0,-1
0,0,2,6,0.40000000000000036,-16,0,1,1
1,1,-7,-11,-0.20000000000000018,11,0,-1,0
1,0,4,9,0.20000000000000018,43,0,-1,1
1,1,-3,-5,-0.20000000000000018,-11,0,0,-1
1,0,3,6,-0.40000000000000036,24,0,1,0
0,0,4,4,0.20000000000000018,-5,0,1,0
1,0,-4,-7,-0.20000000000000018,40,0,0,0
1,1,0,4,-0.6000000000000005,-21,0,1,0
1,1,-8,-4,-0.6000000000000005,-7,0,-1,0
0,0,2,5,0.20000000000000018,-17,0,1,0
0,0,-3,-4,0.20000000000000018,25,0,1,-1
0,1,0,-1,0.40000000000000036,29,0,1,0
1,0,2,3,0.0,-58,0,-1,0
0,1,2,0,0.40000000000000036,10,1,-1,1
0,1,0,-2,0.20000000000000018,53,0,-1,0
0,1,-4,-8,-0.6000000000000005,-73,0,1,1
0,0,-5,-7,-0.40000000000000036,20,0,-1,0
0,0,4,7,0.20000000000000018,26,0,1,0
1,0,-5,-3,-0.7999999999999998,-18,0,-1,0
0,0,4,3,0.40000000000000036,56,0,-1,0
0,0,3,5,0.1999999999999993,10,0,1,0
0,0,11,17,1.2000000000000002,69,0,1,0
0,0,4,0,0.20000000000000018,28,0,0,0
0,1,-2,2,-0.20000000000000018,-1,0,-1,-1
0,0,5,1,0.40000000000000036,28,0,1,0
1,0,-7,-14,-0.40000000000000036,22,0,-1,-1
0,1,-5,-5,0.0,21,0,-1,0
0,0,1,1,-0.20000000000000018,29,0,0,0
1,1,-5,-4,-0.6000000000000005,-23,0,0,0
0,0,2,-1,0.8000000000000007,55,0,0,0
0,1,-1,-7,-0.40000000000000036,33,0,-1,0
1,1,-6,-16,-0.5999999999999996,-4,0,-1,0
1,1,-4,1,-0.20000000000000018,26,0,0,0
1,1,0,-2,0.0,35,0,1,0
1,1,-8,-5,-1.0,-47,0,1,0
0,0,1,-3,0.40000000000000036,35,0,1,-1
0,0,-1,0,-0.20000000000000018,21,0,1,0
1,1,-1,-1,0.0,27,0,-1,0
1,1,0,0,0.20000000000000018,4,0,1,0
1,0,4,5,0.20000000000000018,1,0,1,0
0,1,5,9,0.20000000000000018,4,0,-1,0
1,0,3,0,0.20000000000000018,11,0,-1,1
1,1,-5,-9,0.0,-11,0,-1,0
1,1,-2,-4,0.40000000000000036,0,0,-1,0
1,0,0,4,0.0,17,0,0,0
0,1,5,2,0.40000000000000036,39,0,1,1
0,0,0,1,-0.20000000000000018,29,0,1,1
1,0,-1,-2,-0.7999999999999998,0,0,0,0
1,1,-2,-13,0.0,7,0,0,0
0,0,5,8,0.20000000000000018,15,0,1,0
1,1,-10,-18,-0.6000000000000005,-26,0,0,0
0,0,-3,-6,0.0,-26,0,-1,1
1,1,0,1,-0.40000000000000036,10,0,-1,-1
1,0,-1,-5,-0.20000000000000018,-1,0,1,0
1,1,2,3,0.40000000000000036,-17,0,-1,1
0,1,-2,-5,0.0,9,0,-1,0
1,1,-8,-16,-0.40000000000000036,3,0,1,0
1,0,-5,0,-0.40000000000000036,-20,0,1,0
0,1,-2,-4,-0.20000000000000018,3,0,-1,1
1,0,0,-1,-0.20000000000000018,-33,0,-1,0
0,0,0,-2,0.0,-14,0,1,0
0,0,9,7,1.8000000000000007,102,1,1,1
1,1,0,-1,0.0,-8,0,1,0
1,1,-8,-10,-1.0,-23,0,-1,0
1,1,-4,-8,-0.40000000000000036,-22,0,-1,0
0,0,3,3,0.20000000000000018,18,0,-1,0
0,1,-3,0,0.0,5,0,1,0
1,1,-6,-8,-0.40000000000000036,-78,0,-1,0
0,1,6,6,0.20000000000000018,42,0,0,0
0,1,3,-1,0.5999999999999996,40,0,0,1
1,0,-2,0,0.0,4,0,0,0
0,0,6,3,0.40000000000000036,29,0,1,1
0,0,9,6,1.5999999999999996,62,0,-1,1
0,0,4,3,0.6000000000000005,28,0,1,0
0,0,11,9,1.2000000000000002,34,0,0,-1
0,0,3,5,-0.20000000000000018,33,0,1,0
0,0,2,-1,0.6000000000000005,20,0,0,0
1,1,-2,-7,0.0,-33,-1,1,0
0,0,3,-1,0.0,27,0,1,0
1,1,-2,-4,0.20000000000000018,-14,0,-1,-1
1,1,0,-6,-0.20000000000000018,-34,0,0,1
1,1,-7,-7,-0.5999999999999996,4,0,-1,0
0,1,-7,-14,-1.0,-84,0,1,0
1,1,2,1,0.40000000000000036,18,0,-1,0
1,0,-7,-3,-0.6000000000000005,-19,0,-1,0
0,1,7,4,0.40000000000000036,-25,0,1,0
0,1,-2,1,-0.40000000000000036,5,0,1,0
0,0,11,14,0.8000000000000007,11,0,1,0
1,0,-3,-10,-0.40000000000000036,-33,0,0,0
0,1,-2,-2,-0.20000000000000018,-37,0,-1,-1
0,1,1,1,0.20000000000000018,-1,0,-1,0
0,0,11,16,1.2000000000000002,57,0,1,0
0,0,3,6,0.1999999999999993,-17,0,1,1
0,1,1,-3,-0.20000000000000018,-13,0,1,-1
0,0,5,11,0.40000000000000036,61,0,1,-1
0,1,2,3,0.6000000000000005,-11,0,1,0
0,1,3,-1,0.6000000000000005,50,1,-1,1
1,1,-2,5,-1.0,-48,-2,-1,-1
1,1,-4,-8,0.0,-5,0,0,0
0,0,0,-1,-0.40000000000000036,-22,0,1,0
0,0,-2,1,-0.6000000000000005,4,0,0,0
0,1,10,16,1.2000000000000002,58,0,1,0
0,0,-2,-7,-0.20000000000000018,14,0,1,0
0,0,3,6,0.40000000000000036,1,0,1,-1
1,1,-4,-6,0.0,38,0,1,0
1,0,4,8,0.20000000000000018,0,0,1,0
0,0,4,9,0.8000000000000007,24,1,1,1
0,0,-1,1,0.0,9,0,-1,0
1,0,-1,1,0.0,-53,0,1,0
0,1,0,2,-0.20000000000000018,-61,0,1,0
1,1,4,1,0.40000000000000036,9,0,-1,0
1,1,-6,-3,-0.7999999999999998,-31,0,-1,-1
1,1,-4,-6,-0.8000000000000007,-15,0,-1,1
1,0,5,4,0.6000000000000005,72,0,-1,0
1,0,0,4,-0.6000000000000005,-67,0,1,0
0,0,3,1,0.20000000000000018,14,0,1,1
1,0,-5,-7,-0.5999999999999996,-11,0,0,1
0,0,2,3,0.0,22,0,-1,0
1,0,3,5,0.20000000000000018,4,0,-1,-1
1,0,4,1,0.40000000000000036,17,0,1,1
1,1,8,8,0.7999999999999998,2,0,-1,0
1,0,2,5,0.0,-47,0,0,-1
0,0,6,5,0.8000000000000007,32,0,-1,1
0,1,2,1,0.6000000000000005,55,0,-1,0
0,0,5,7,0.0,-21,0,1,0
